과목코드,분반,수강정원,강의실명,수강인원,수업시간
GEK10066,1,80,NTH 313,75,"화2,금2"
ECE30012,1,30,NTH 313,35,"월2,목2"
ECE30021,1,50,NTH 313,74,"화5,금5"
ECE40093,2,0,NTH 313,32,"수8,금7"
ITP20001,1,50,NTH 313,57,"월5,목5"
ITP20001,2,50,NTH 313,51,"월6,목6"
ITP20007,2,50,NTH 313,60,"화3,금3"
ITP40001,1,40,NTH 313,57,"화6,금6"
CUE20005,1,50,NTH 313,45,"월4,화4"
CUE20052,1,65,NTH 313,58,"월1,목1"
GCS30008,1,20,NTH 412,9,"월2,목2"
GCS30008,2,20,NTH 412,7,"월3,목3"
GEK10091,1,35,NTH 412,48,"월6,월7"
ECE40093,1,0,NTH 412,23,"수8,금7"
ECE30075,1,30,NTH 413,27,"월2,목2"
ECE30075,2,30,NTH 413,28,"월4,목4"
ECE40047,1,20,NTH 414,18,"화2,금2"
ECE20060,1,40,NTH 417,40,"화7,화8"
ECE20060,2,40,NTH 417,24,"목7,목8"
ECE30056,1,40,NTH 417,31,"월7,월8"
GCS10007,3,45,OH 302,50,"화5,금5"
GCS10007,4,45,OH 302,45,"화6,금6"
GCS20006,1,45,OH 302,49,"화2,금2"
GCS20006,2,45,OH 302,51,"화3,금3"
GEK10076,1,80,OH 305,76,수2
GEK10076,2,80,OH 305,39,수3
GEK20044,1,40,OH 305,41,"월4,월5"
CCE20003,1,50,OH 305,31,"월2,목2"
LAW20009,1,80,OH 305,82,"화2,금2"
CSW40010,1,40,OH 305,15,"화5,화6"
HMM10041,1,60,OH 305,57,"월3,목3"
HMM10041,2,60,OH 305,70,"화3,금3"
HMM30012,1,60,OH 305,60,"월6,목6"
GEK10035,2,40,OH 306,39,"목5,목6"
CCE20005,1,45,OH 306,43,"월3,목3"
GEA20016,1,40,OH 306,10,"화2,금2"
ISE10022,1,40,OH 306,27,"금5,금6"
CSW30009,2,40,OH 306,25,"월5,월6"
IID30068,1,25,OH 306,18,"화3,화4"
IID30068,2,25,OH 306,25,"화5,화6"
CSW20065,1,40,OH 401,72,"월2,목2"
ECE20010,2,60,OH 401,83,"화3,금3"
ECE30011,1,50,OH 401,76,"월6,목6"
ITP20003,1,48,OH 401,40,"화4,금4"
ITP20003,2,48,OH 401,53,"화5,금5"
ITP30002,1,50,OH 401,52,"월3,목3"
ITP30005,1,50,OH 401,49,"월5,목5"
ITP30008,1,40,OH 401,67,"화2,금2"
GEE20034,1,40,OH 402,60,"화2,금2"
GEE30023,1,25,OH 402,52,"월4,목4"
GEK20042,1,40,OH 402,56,"월2,목2"
GEK20042,2,50,OH 402,50,"화7,금7"
GEK20058,9,65,OH 402,64,"월5,목5"
GEK30030,1,80,OH 402,87,"화3,금3"
GEK40091,1,80,OH 402,80,"수2,수3"
CSW20015,1,60,OH 402,42,"화4,화5"
CSW20079,1,80,OH 402,66,"화1,금1"
GEK10096,3,60,OH 403,78,"화5,금5"
GEK20058,1,65,OH 403,66,"화1,금1"
GEK20058,2,65,OH 403,90,"화2,금2"
GEK20058,3,65,OH 403,80,"화3,금3"
GEK20058,7,65,OH 403,67,"월2,목2"
GEK20058,8,65,OH 403,66,"월3,목3"
GEK20062,2,70,OH 403,106,"월5,목5"
GEK30015,1,50,OH 403,55,"수2,수3"
GEK10030,1,120,OH 405,138,"화2,금2"
GEK10042,1,100,OH 405,102,"월3,목3"
GEK10057,1,60,OH 405,94,"월5,목5"
GEK20048,1,40,OH 405,39,"수8,수9"
GEK20048,2,40,OH 405,2,"수8,수9"
GEK20048,3,40,OH 405,0,"수8,수9"
GEK20048,4,40,OH 405,0,"수8,수9"
GEK30015,2,150,OH 405,103,화6
MEC10001,1,120,OH 405,120,"월6,목6"
CSW20054,1,130,OH 405,130,"화3,금3"
BFT20001,1,130,OH 405,98,"목4,목5"
BFT20002,1,130,OH 405,107,"화4,금4"
ECE20057,1,90,OH 405,129,"월2,목2"
HMM20026,1,60,OH 405,113,"화1,금1"
GCS10058,2,45,OH 420,49,"월3,목3"
GEK10041,4,50,OH 420,14,"화2,화3"
GEK20011,1,50,OH 420,55,"월2,목2"
GEK20011,3,60,OH 420,56,"월4,목4"
GEK20017,1,60,OH 420,24,"화5,금5"
GEK20051,1,50,OH 420,40,"수2,수3"
GEK30014,1,60,OH 420,62,"월5,목5"
GEK30014,2,50,OH 420,43,"월6,목6"
GEK20028,4,50,OH Media,52,"화2,화3"
IID30018,1,40,OH Media,40,목5
GEK10011,2,160,SU 101,165,"수3,수4"
GEK10021,6,20,SU 101,21,"수8,수9"
GEK10021,7,20,SU 101,20,"금8,금9"
GEK20028,1,60,SU 101,60,"목2,목3"
GEK20028,2,60,SU 101,60,"목5,목6"
GEK30022,1,60,SU 101,60,"월5,월6"
