GEK20044.1,"[4, 5]",0wzrHPLW
GEK20058.7,"[2, 38]",0wzrHPLW
GEK10055.1,"[13, 49]",0xCPR3do
GEK20058.6,"[16, 52]",0xCPR3do
GEK30030.1,"[15, 51]",0xCPR3do
GCS10052.12,"[6, 42]",0xCPR3do
GEK10096.2,"[3, 39]",0xCPR3do
GEK10038.1,"[37, 38]",0xCPR3do
ECE20010.2,"[15, 51]",0XpCZUeW
GEK10095.3,"[18, 54]",0XpCZUeW
ITP20003.1,"[16, 52]",0XpCZUeW
GEK10062.2,"[3, 39]",0XpCZUeW
GEK20059.1,"[5, 41]",0XpCZUeW
ECE20057.1,"[2, 38]",0XpCZUeW
GCS20006.2,"[15, 51]",0YSKpyeE
GEE20034.1,"[14, 50]",0YSKpyeE
MEC30003.1,"[13, 49]",0YSKpyeE
MEC30010.1,"[17, 18]",0YSKpyeE
LAW30034.1,"[2, 38]",0YSKpyeE
GCS20002.1,"[4, 40]",0YSKpyeE
MEC40006.1,"[3, 39]",0YSKpyeE
GCS10002.5,"[13, 49]",0Z0Rxxfi
